uid expr treatment rep update lineage
final_comps_comp50_51 final_comps comp50 51 11000 0.627417
final_comps_comp50_51 final_comps comp50 51 11100 0.640279
final_comps_comp50_51 final_comps comp50 51 11200 0.659913
final_comps_comp50_51 final_comps comp50 51 11300 0.670674
final_comps_comp50_51 final_comps comp50 51 11400 0.666089
final_comps_comp50_51 final_comps comp50 51 11500 0.675912
final_comps_comp50_51 final_comps comp50 51 11600 0.67855
final_comps_comp50_51 final_comps comp50 51 11700 0.695197
final_comps_comp50_51 final_comps comp50 51 11800 0.696471
final_comps_comp50_51 final_comps comp50 51 11900 0.708382
final_comps_comp50_51 final_comps comp50 51 12000 0.697668
final_comps_comp50_51 final_comps comp50 51 12100 0.702506
final_comps_comp50_51 final_comps comp50 51 12200 0.727616
final_comps_comp50_51 final_comps comp50 51 12300 0.733096
final_comps_comp50_51 final_comps comp50 51 12400 0.753971
final_comps_comp50_51 final_comps comp50 51 12500 0.761347
final_comps_comp50_51 final_comps comp50 51 12600 0.771884
final_comps_comp50_51 final_comps comp50 51 12700 0.773979
final_comps_comp50_51 final_comps comp50 51 12800 0.792085
final_comps_comp50_51 final_comps comp50 51 12900 0.795636
final_comps_comp50_51 final_comps comp50 51 13000 0.819849
final_comps_comp50_51 final_comps comp50 51 13100 0.822538
final_comps_comp50_51 final_comps comp50 51 13200 0.813139
final_comps_comp50_51 final_comps comp50 51 13300 0.804188
final_comps_comp50_51 final_comps comp50 51 13400 0.805612
final_comps_comp50_51 final_comps comp50 51 13500 0.818234
final_comps_comp50_51 final_comps comp50 51 13600 0.82572
final_comps_comp50_51 final_comps comp50 51 13700 0.833044
final_comps_comp50_51 final_comps comp50 51 13800 0.826912
final_comps_comp50_51 final_comps comp50 51 13900 0.826872
final_comps_comp50_51 final_comps comp50 51 14000 0.83566
final_comps_comp50_51 final_comps comp50 51 14100 0.836385
final_comps_comp50_51 final_comps comp50 51 14200 0.857184
final_comps_comp50_51 final_comps comp50 51 14300 0.890244
final_comps_comp50_51 final_comps comp50 51 14400 0.891098
final_comps_comp50_51 final_comps comp50 51 14500 0.879261
final_comps_comp50_51 final_comps comp50 51 14600 0.871893
final_comps_comp50_51 final_comps comp50 51 14700 0.881548
final_comps_comp50_51 final_comps comp50 51 14800 0.892347
final_comps_comp50_51 final_comps comp50 51 14900 0.899075
final_comps_comp50_51 final_comps comp50 51 15000 0.911484
final_comps_comp50_51 final_comps comp50 51 15100 0.910804
final_comps_comp50_51 final_comps comp50 51 15200 0.918822
final_comps_comp50_51 final_comps comp50 51 15300 0.908113
final_comps_comp50_51 final_comps comp50 51 15400 0.91845
final_comps_comp50_51 final_comps comp50 51 15500 0.928407
final_comps_comp50_51 final_comps comp50 51 15600 0.939262
final_comps_comp50_51 final_comps comp50 51 15700 0.961188
final_comps_comp50_51 final_comps comp50 51 15800 0.960784
final_comps_comp50_51 final_comps comp50 51 15900 0.97724
final_comps_comp50_51 final_comps comp50 51 16000 0.984261
final_comps_comp50_51 final_comps comp50 51 16100 0.989598
final_comps_comp50_51 final_comps comp50 51 16200 0.995728
final_comps_comp50_51 final_comps comp50 51 16300 1
final_comps_comp50_51 final_comps comp50 51 16400 1
final_comps_comp50_51 final_comps comp50 51 16500 1
final_comps_comp50_51 final_comps comp50 51 16600 1
final_comps_comp50_51 final_comps comp50 51 16700 1
final_comps_comp50_51 final_comps comp50 51 16800 1
final_comps_comp50_51 final_comps comp50 51 16900 1
final_comps_comp50_51 final_comps comp50 51 17000 1
final_comps_comp50_51 final_comps comp50 51 17100 1
final_comps_comp50_51 final_comps comp50 51 17200 1
final_comps_comp50_51 final_comps comp50 51 17300 1
final_comps_comp50_51 final_comps comp50 51 17400 1
final_comps_comp50_51 final_comps comp50 51 17500 1
final_comps_comp50_51 final_comps comp50 51 17600 1
final_comps_comp50_51 final_comps comp50 51 17700 1
final_comps_comp50_51 final_comps comp50 51 17800 1
final_comps_comp50_51 final_comps comp50 51 17900 1
final_comps_comp50_51 final_comps comp50 51 18000 1
final_comps_comp50_51 final_comps comp50 51 18100 1
final_comps_comp50_51 final_comps comp50 51 18200 1
final_comps_comp50_51 final_comps comp50 51 18300 1
final_comps_comp50_51 final_comps comp50 51 18400 1
final_comps_comp50_51 final_comps comp50 51 18500 1
final_comps_comp50_51 final_comps comp50 51 18600 1
final_comps_comp50_51 final_comps comp50 51 18700 1
final_comps_comp50_51 final_comps comp50 51 18800 1
final_comps_comp50_51 final_comps comp50 51 18900 1
final_comps_comp50_51 final_comps comp50 51 19000 1
final_comps_comp50_51 final_comps comp50 51 19100 1
final_comps_comp50_51 final_comps comp50 51 19200 1
final_comps_comp50_51 final_comps comp50 51 19300 1
final_comps_comp50_51 final_comps comp50 51 19400 1
final_comps_comp50_51 final_comps comp50 51 19500 1
final_comps_comp50_51 final_comps comp50 51 19600 1
final_comps_comp50_51 final_comps comp50 51 19700 1
final_comps_comp50_51 final_comps comp50 51 19800 1
final_comps_comp50_51 final_comps comp50 51 19900 1
final_comps_comp50_51 final_comps comp50 51 20000 1
final_comps_comp50_51 final_comps comp50 51 20100 1
final_comps_comp50_51 final_comps comp50 51 20200 1
final_comps_comp50_51 final_comps comp50 51 20300 1
final_comps_comp50_51 final_comps comp50 51 20400 1
final_comps_comp50_51 final_comps comp50 51 20500 1
final_comps_comp50_51 final_comps comp50 51 20600 1
final_comps_comp50_51 final_comps comp50 51 20700 1
final_comps_comp50_51 final_comps comp50 51 20800 1
final_comps_comp50_51 final_comps comp50 51 20900 1
final_comps_comp50_51 final_comps comp50 51 21000 1
final_comps_comp50_51 final_comps comp50 51 21100 1
final_comps_comp50_51 final_comps comp50 51 21200 1
final_comps_comp50_51 final_comps comp50 51 21300 1
final_comps_comp50_51 final_comps comp50 51 21400 1
final_comps_comp50_51 final_comps comp50 51 21500 1
final_comps_comp50_51 final_comps comp50 51 21600 1
final_comps_comp50_51 final_comps comp50 51 21700 1
final_comps_comp50_51 final_comps comp50 51 21800 1
final_comps_comp50_51 final_comps comp50 51 21900 1
final_comps_comp50_51 final_comps comp50 51 22000 1
final_comps_comp50_51 final_comps comp50 51 22100 1
final_comps_comp50_51 final_comps comp50 51 22200 1
final_comps_comp50_51 final_comps comp50 51 22300 1
final_comps_comp50_51 final_comps comp50 51 22400 1
final_comps_comp50_51 final_comps comp50 51 22500 1
final_comps_comp50_51 final_comps comp50 51 22600 1
final_comps_comp50_51 final_comps comp50 51 22700 1
final_comps_comp50_51 final_comps comp50 51 22800 1
final_comps_comp50_51 final_comps comp50 51 22900 1
