uid expr treatment rep update popsize
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 9100 3414
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 9200 3427
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 9300 3440
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 9400 3466
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 9500 3375
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 9600 3529
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 9700 3393
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 9800 3471
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 9900 3452
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 10000 3468
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 10100 3430
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 10200 3468
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 10300 3430
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 10400 3440
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 10500 3448
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 10600 3452
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 10700 3483
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 10800 3338
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 10900 3430
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 11000 3444
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 11100 3461
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 11200 3406
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 11300 3456
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 11400 3490
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 11500 3388
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 11600 3413
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 11700 3458
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 11800 3431
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 11900 3438
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 12000 3425
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 12100 3449
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 12200 3468
