uid expr treatment rep update smart-explode quorum-sense nop-y
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 7900 6148 1596 932
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 8000 6073 1560 955
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 8100 6050 1555 841
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 8200 6105 1714 825
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 8300 6359 1542 943
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 8400 6196 1568 897
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 8500 5992 1638 948
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 8600 6327 1667 835
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 8700 6297 1798 731
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 8800 6127 1633 662
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 8900 6241 1728 621
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 9000 6364 1826 633
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 9100 6197 1883 546
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 9200 6379 1833 498
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 9300 6219 1749 460
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 9400 6216 2114 428
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 9500 6321 1840 401
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 9600 6392 1969 651
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 9700 6377 2066 406
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 9800 6394 2040 299
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 9900 6539 2094 326
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 10000 6409 2024 446
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 10100 6466 2007 514
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 10200 6521 2070 413
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 10300 6424 2175 315
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 10400 6486 2162 367
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 10500 6369 2080 311
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 10600 6446 2146 343
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 10700 6577 2255 375
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 10800 6590 2310 379
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 10900 6559 2257 294
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 11000 6510 2328 377
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 11100 6618 2343 112
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 11200 6616 2357 94
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 11300 6678 2524 69
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 11400 6783 2451 61
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 11500 6624 2482 81
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 11600 7081 2393 69
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 11700 6764 2391 101
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 11800 6749 2356 79
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 11900 6737 2369 112
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 12000 6718 2428 112
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 12100 6835 2562 93
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 12200 6847 2580 125
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 12300 6646 2615 119
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 12400 6646 2660 80
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 12500 6930 2741 63
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 12600 6850 2784 289
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 12700 6721 2772 78
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 12800 6643 3123 287
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 12900 6762 3051 86
reg_test_evolve_nopy_51 reg_test evolve_nopy 51 13000 6709 2885 88
