uid expr treatment rep update threshold
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 8600 94.605
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 8700 94.0743
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 8800 94.8181
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 8900 92.575
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 9000 93.3771
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 9100 93.2523
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 9200 94.6387
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 9300 94.5712
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 9400 93.1616
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 9500 94.0318
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 9600 94.4934
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 9700 94.6184
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 9800 95.0824
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 9900 93.7618
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 10000 93.9513
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 10100 91.8745
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 10200 92.6963
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 10300 92.6482
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 10400 91.4555
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 10500 94.9851
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 10600 91.5174
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 10700 94.8119
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 10800 94.6995
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 10900 94.7316
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 11000 94.5338
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 11100 93.1347
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 11200 94.4588
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 11300 94.7754
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 11400 93.8715
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 11500 94.7164
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 11600 94.5207
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 11700 94.4888
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 11800 94.4791
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 11900 92.2044
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 12000 93.2507
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 12100 94.051
reg_test_evolve_wreg_51 reg_test evolve_wreg 51 12200 94.4089
