uid expr treatment rep update popsize
reg_test_noqs_reg_51 reg_test noqs_reg 51 9600 3304
reg_test_noqs_reg_51 reg_test noqs_reg 51 9700 3311
reg_test_noqs_reg_51 reg_test noqs_reg 51 9800 3344
reg_test_noqs_reg_51 reg_test noqs_reg 51 9900 3309
reg_test_noqs_reg_51 reg_test noqs_reg 51 10000 3389
reg_test_noqs_reg_51 reg_test noqs_reg 51 10100 3317
reg_test_noqs_reg_51 reg_test noqs_reg 51 10200 3364
reg_test_noqs_reg_51 reg_test noqs_reg 51 10300 3331
reg_test_noqs_reg_51 reg_test noqs_reg 51 10400 3300
reg_test_noqs_reg_51 reg_test noqs_reg 51 10500 3300
reg_test_noqs_reg_51 reg_test noqs_reg 51 10600 3383
reg_test_noqs_reg_51 reg_test noqs_reg 51 10700 3382
reg_test_noqs_reg_51 reg_test noqs_reg 51 10800 3312
reg_test_noqs_reg_51 reg_test noqs_reg 51 10900 3334
reg_test_noqs_reg_51 reg_test noqs_reg 51 11000 3393
reg_test_noqs_reg_51 reg_test noqs_reg 51 11100 3346
reg_test_noqs_reg_51 reg_test noqs_reg 51 11200 3321
reg_test_noqs_reg_51 reg_test noqs_reg 51 11300 3377
reg_test_noqs_reg_51 reg_test noqs_reg 51 11400 3381
reg_test_noqs_reg_51 reg_test noqs_reg 51 11500 3325
reg_test_noqs_reg_51 reg_test noqs_reg 51 11600 3333
reg_test_noqs_reg_51 reg_test noqs_reg 51 11700 3323
reg_test_noqs_reg_51 reg_test noqs_reg 51 11800 3397
reg_test_noqs_reg_51 reg_test noqs_reg 51 11900 3325
reg_test_noqs_reg_51 reg_test noqs_reg 51 12000 3392
reg_test_noqs_reg_51 reg_test noqs_reg 51 12100 3385
reg_test_noqs_reg_51 reg_test noqs_reg 51 12200 3402
reg_test_noqs_reg_51 reg_test noqs_reg 51 12300 3341
reg_test_noqs_reg_51 reg_test noqs_reg 51 12400 3304
reg_test_noqs_reg_51 reg_test noqs_reg 51 12500 3330
reg_test_noqs_reg_51 reg_test noqs_reg 51 12600 3276
reg_test_noqs_reg_51 reg_test noqs_reg 51 12700 3413
reg_test_noqs_reg_51 reg_test noqs_reg 51 12800 3410
