uid expr treatment rep update lineage_perc
reg_test_noisy_01_compnoqs_51 reg_test noisy_01_compnoqs 51 0 0.508847
reg_test_noisy_01_compnoqs_51 reg_test noisy_01_compnoqs 51 100 0.511124
reg_test_noisy_01_compnoqs_51 reg_test noisy_01_compnoqs 51 200 0.522111
reg_test_noisy_01_compnoqs_51 reg_test noisy_01_compnoqs 51 300 0.528122
reg_test_noisy_01_compnoqs_51 reg_test noisy_01_compnoqs 51 400 0.52525
reg_test_noisy_01_compnoqs_51 reg_test noisy_01_compnoqs 51 500 0.536514
reg_test_noisy_01_compnoqs_51 reg_test noisy_01_compnoqs 51 600 0.543773
reg_test_noisy_01_compnoqs_51 reg_test noisy_01_compnoqs 51 700 0.561124
reg_test_noisy_01_compnoqs_51 reg_test noisy_01_compnoqs 51 800 0.574891
reg_test_noisy_01_compnoqs_51 reg_test noisy_01_compnoqs 51 900 0.579664
reg_test_noisy_01_compnoqs_51 reg_test noisy_01_compnoqs 51 1000 0.600177
reg_test_noisy_01_compnoqs_51 reg_test noisy_01_compnoqs 51 1100 0.603222
reg_test_noisy_01_compnoqs_51 reg_test noisy_01_compnoqs 51 1200 0.630756
reg_test_noisy_01_compnoqs_51 reg_test noisy_01_compnoqs 51 1300 0.657044
reg_test_noisy_01_compnoqs_51 reg_test noisy_01_compnoqs 51 1400 0.674453
reg_test_noisy_01_compnoqs_51 reg_test noisy_01_compnoqs 51 1500 0.690641
reg_test_noisy_01_compnoqs_51 reg_test noisy_01_compnoqs 51 1600 0.716883
reg_test_noisy_01_compnoqs_51 reg_test noisy_01_compnoqs 51 1700 0.729155
reg_test_noisy_01_compnoqs_51 reg_test noisy_01_compnoqs 51 1800 0.740176
reg_test_noisy_01_compnoqs_51 reg_test noisy_01_compnoqs 51 1900 0.725952
reg_test_noisy_01_compnoqs_51 reg_test noisy_01_compnoqs 51 2000 0.729927
reg_test_noisy_01_compnoqs_51 reg_test noisy_01_compnoqs 51 2100 0.741394
reg_test_noisy_01_compnoqs_51 reg_test noisy_01_compnoqs 51 2200 0.749493
reg_test_noisy_01_compnoqs_51 reg_test noisy_01_compnoqs 51 2300 0.754457
reg_test_noisy_01_compnoqs_51 reg_test noisy_01_compnoqs 51 2400 0.762622
reg_test_noisy_01_compnoqs_51 reg_test noisy_01_compnoqs 51 2500 0.77181
reg_test_noisy_01_compnoqs_51 reg_test noisy_01_compnoqs 51 2600 0.773469
reg_test_noisy_01_compnoqs_51 reg_test noisy_01_compnoqs 51 2700 0.792772
reg_test_noisy_01_compnoqs_51 reg_test noisy_01_compnoqs 51 2800 0.789722
reg_test_noisy_01_compnoqs_51 reg_test noisy_01_compnoqs 51 2900 0.796963
reg_test_noisy_01_compnoqs_51 reg_test noisy_01_compnoqs 51 3000 0.811834
reg_test_noisy_01_compnoqs_51 reg_test noisy_01_compnoqs 51 3100 0.823358
reg_test_noisy_01_compnoqs_51 reg_test noisy_01_compnoqs 51 3200 0.856894
reg_test_noisy_01_compnoqs_51 reg_test noisy_01_compnoqs 51 3300 0.855942
reg_test_noisy_01_compnoqs_51 reg_test noisy_01_compnoqs 51 3400 0.87405
reg_test_noisy_01_compnoqs_51 reg_test noisy_01_compnoqs 51 3500 0.899566
reg_test_noisy_01_compnoqs_51 reg_test noisy_01_compnoqs 51 3600 0.906752
reg_test_noisy_01_compnoqs_51 reg_test noisy_01_compnoqs 51 3700 0.91516
reg_test_noisy_01_compnoqs_51 reg_test noisy_01_compnoqs 51 3800 0.918783
reg_test_noisy_01_compnoqs_51 reg_test noisy_01_compnoqs 51 3900 0.932623
reg_test_noisy_01_compnoqs_51 reg_test noisy_01_compnoqs 51 4000 0.931487
reg_test_noisy_01_compnoqs_51 reg_test noisy_01_compnoqs 51 4100 0.925507
reg_test_noisy_01_compnoqs_51 reg_test noisy_01_compnoqs 51 4200 0.917904
reg_test_noisy_01_compnoqs_51 reg_test noisy_01_compnoqs 51 4300 0.923475
reg_test_noisy_01_compnoqs_51 reg_test noisy_01_compnoqs 51 4400 0.93349
reg_test_noisy_01_compnoqs_51 reg_test noisy_01_compnoqs 51 4500 0.944771
reg_test_noisy_01_compnoqs_51 reg_test noisy_01_compnoqs 51 4600 0.957089
