uid expr treatment rep update threshold
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 8200 87.5541
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 8300 88.5483
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 8400 88.6739
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 8500 87.8021
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 8600 89.3176
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 8700 82.3538
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 8800 86.5991
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 8900 88.5083
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 9000 88.307
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 9100 85.6854
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 9200 89.1109
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 9300 88.2858
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 9400 86.7156
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 9500 84.8535
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 9600 86.3227
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 9700 86.4957
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 9800 88.9219
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 9900 89.5337
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 10000 89.2927
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 10100 86.5568
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 10200 88.723
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 10300 89.2842
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 10400 85.3861
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 10500 88.7016
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 10600 90.1852
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 10700 88.8781
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 10800 87.6776
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 10900 81.2275
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 11000 76.1819
reg_test_noisy_01_reg_51 reg_test noisy_01_reg 51 11100 85.9069
