uid expr treatment rep update threshold
reg_test_noisy_1_reg_51 reg_test noisy_1_reg 51 0 -nan
reg_test_noisy_1_reg_51 reg_test noisy_1_reg 51 100 96
reg_test_noisy_1_reg_51 reg_test noisy_1_reg 51 200 92.5091
reg_test_noisy_1_reg_51 reg_test noisy_1_reg 51 300 88.2117
reg_test_noisy_1_reg_51 reg_test noisy_1_reg 51 400 42.8544
reg_test_noisy_1_reg_51 reg_test noisy_1_reg 51 500 70.9759
reg_test_noisy_1_reg_51 reg_test noisy_1_reg 51 600 73.9117
reg_test_noisy_1_reg_51 reg_test noisy_1_reg 51 700 62.1133
reg_test_noisy_1_reg_51 reg_test noisy_1_reg 51 800 73.153
reg_test_noisy_1_reg_51 reg_test noisy_1_reg 51 900 68.8975
reg_test_noisy_1_reg_51 reg_test noisy_1_reg 51 1000 53.1161
reg_test_noisy_1_reg_51 reg_test noisy_1_reg 51 1100 79.9379
reg_test_noisy_1_reg_51 reg_test noisy_1_reg 51 1200 86.2013
reg_test_noisy_1_reg_51 reg_test noisy_1_reg 51 1300 82.966
reg_test_noisy_1_reg_51 reg_test noisy_1_reg 51 1400 83.104
reg_test_noisy_1_reg_51 reg_test noisy_1_reg 51 1500 89.9024
reg_test_noisy_1_reg_51 reg_test noisy_1_reg 51 1600 91.1391
reg_test_noisy_1_reg_51 reg_test noisy_1_reg 51 1700 90.7947
reg_test_noisy_1_reg_51 reg_test noisy_1_reg 51 1800 83.1926
reg_test_noisy_1_reg_51 reg_test noisy_1_reg 51 1900 69.3278
reg_test_noisy_1_reg_51 reg_test noisy_1_reg 51 2000 74.6205
reg_test_noisy_1_reg_51 reg_test noisy_1_reg 51 2100 84.6771
reg_test_noisy_1_reg_51 reg_test noisy_1_reg 51 2200 80.6224
reg_test_noisy_1_reg_51 reg_test noisy_1_reg 51 2300 70.4786
reg_test_noisy_1_reg_51 reg_test noisy_1_reg 51 2400 78.6655
reg_test_noisy_1_reg_51 reg_test noisy_1_reg 51 2500 68.907
reg_test_noisy_1_reg_51 reg_test noisy_1_reg 51 2600 74.6675
reg_test_noisy_1_reg_51 reg_test noisy_1_reg 51 2700 77.5984
reg_test_noisy_1_reg_51 reg_test noisy_1_reg 51 2800 69.9557
reg_test_noisy_1_reg_51 reg_test noisy_1_reg 51 2900 76.3615
reg_test_noisy_1_reg_51 reg_test noisy_1_reg 51 3000 81.6688
reg_test_noisy_1_reg_51 reg_test noisy_1_reg 51 3100 78.8211
reg_test_noisy_1_reg_51 reg_test noisy_1_reg 51 3200 76.0609
reg_test_noisy_1_reg_51 reg_test noisy_1_reg 51 3300 61.3947
reg_test_noisy_1_reg_51 reg_test noisy_1_reg 51 3400 82.243
reg_test_noisy_1_reg_51 reg_test noisy_1_reg 51 3500 84.7913
reg_test_noisy_1_reg_51 reg_test noisy_1_reg 51 3600 66.0087
reg_test_noisy_1_reg_51 reg_test noisy_1_reg 51 3700 81.2026
