uid expr treatment rep update smart-explode quorum-sense nop-y
reg_test_noisy_01_nopy_51 reg_test noisy_01_nopy 51 0 0 0 0
reg_test_noisy_01_nopy_51 reg_test noisy_01_nopy 51 100 2 0 0
reg_test_noisy_01_nopy_51 reg_test noisy_01_nopy 51 200 4 19 36
reg_test_noisy_01_nopy_51 reg_test noisy_01_nopy 51 300 55 88 142
reg_test_noisy_01_nopy_51 reg_test noisy_01_nopy 51 400 214 179 324
reg_test_noisy_01_nopy_51 reg_test noisy_01_nopy 51 500 617 501 426
reg_test_noisy_01_nopy_51 reg_test noisy_01_nopy 51 600 1306 320 442
reg_test_noisy_01_nopy_51 reg_test noisy_01_nopy 51 700 2179 553 340
reg_test_noisy_01_nopy_51 reg_test noisy_01_nopy 51 800 2887 201 191
reg_test_noisy_01_nopy_51 reg_test noisy_01_nopy 51 900 3318 168 149
reg_test_noisy_01_nopy_51 reg_test noisy_01_nopy 51 1000 3905 221 169
reg_test_noisy_01_nopy_51 reg_test noisy_01_nopy 51 1100 4251 132 219
reg_test_noisy_01_nopy_51 reg_test noisy_01_nopy 51 1200 4676 189 264
reg_test_noisy_01_nopy_51 reg_test noisy_01_nopy 51 1300 5008 159 325
reg_test_noisy_01_nopy_51 reg_test noisy_01_nopy 51 1400 5238 31 375
reg_test_noisy_01_nopy_51 reg_test noisy_01_nopy 51 1500 5431 122 360
reg_test_noisy_01_nopy_51 reg_test noisy_01_nopy 51 1600 5562 56 427
reg_test_noisy_01_nopy_51 reg_test noisy_01_nopy 51 1700 5676 65 516
reg_test_noisy_01_nopy_51 reg_test noisy_01_nopy 51 1800 5792 69 587
reg_test_noisy_01_nopy_51 reg_test noisy_01_nopy 51 1900 5931 97 611
reg_test_noisy_01_nopy_51 reg_test noisy_01_nopy 51 2000 5971 86 571
reg_test_noisy_01_nopy_51 reg_test noisy_01_nopy 51 2100 6068 75 606
reg_test_noisy_01_nopy_51 reg_test noisy_01_nopy 51 2200 6016 78 569
reg_test_noisy_01_nopy_51 reg_test noisy_01_nopy 51 2300 6039 69 613
reg_test_noisy_01_nopy_51 reg_test noisy_01_nopy 51 2400 6104 103 638
reg_test_noisy_01_nopy_51 reg_test noisy_01_nopy 51 2500 5970 451 665
reg_test_noisy_01_nopy_51 reg_test noisy_01_nopy 51 2600 6065 194 811
reg_test_noisy_01_nopy_51 reg_test noisy_01_nopy 51 2700 5906 155 754
reg_test_noisy_01_nopy_51 reg_test noisy_01_nopy 51 2800 6454 147 792
reg_test_noisy_01_nopy_51 reg_test noisy_01_nopy 51 2900 5896 208 813
