uid expr treatment rep update lineage_perc
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 7000 0.791739
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 7100 0.795289
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 7200 0.782263
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 7300 0.787283
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 7400 0.790691
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 7500 0.792431
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 7600 0.810954
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 7700 0.825065
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 7800 0.828268
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 7900 0.823374
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 8000 0.809763
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 8100 0.826188
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 8200 0.833578
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 8300 0.853565
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 8400 0.85971
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 8500 0.88064
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 8600 0.877545
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 8700 0.871412
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 8800 0.874565
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 8900 0.87892
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 9000 0.87278
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 9100 0.877392
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 9200 0.8715
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 9300 0.884514
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 9400 0.897316
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 9500 0.894453
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 9600 0.906152
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 9700 0.919284
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 9800 0.93267
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 9900 0.935329
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 10000 0.94678
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 10100 0.935369
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 10200 0.924136
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 10300 0.941039
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 10400 0.938507
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 10500 0.944119
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 10600 0.955634
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 10700 0.952765
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 10800 0.95899
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 10900 0.958089
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 11000 0.966339
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 11100 0.972901
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 11200 0.985246
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 11300 0.986463
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 11400 0.988953
reg_test_noisy_1_compnoqs_51 reg_test noisy_1_compnoqs 51 11500 0.992117
